id,EAP,HPL,MWS
id00235,0.85758,0.0158,0.12662
id25522,0.06413,0.00996,0.92591
id04204,0.02364,0.92987,0.04648
id22016,0.1437,0.04134,0.81495
id06480,0.20595,0.73528,0.05877
id08718,0.04869,0.02233,0.92898
id05251,0.00911,0.97437,0.01652
id03359,0.69856,0.12314,0.1783
id16117,0.1311,0.01111,0.85779
id17000,0.01243,0.98653,0.00104
id01730,0.31746,0.65034,0.0322
id00630,0.24596,0.59002,0.16402
id18175,0.10458,0.01054,0.88487
id00907,0.86606,0.12174,0.0122
id18251,0.06495,0.92917,0.00588
id25861,0.64961,0.03786,0.31253
id00398,0.62625,0.11456,0.2592
id27573,0.96648,0.00383,0.02969
id10022,0.02767,0.95838,0.01395
id15901,0.07456,0.00472,0.92072
id00451,0.07203,0.01881,0.90917
id23129,0.11467,0.84855,0.03678
id26498,0.26226,0.55873,0.17901
id14741,0.76692,0.07925,0.15383
id18453,0.11484,0.03314,0.85201
id08309,0.88952,0.07342,0.03705
id00320,0.97608,0.00695,0.01698
id07688,0.24435,0.11003,0.64563
id01556,0.1387,0.01718,0.84412
id00178,0.64903,0.07499,0.27598
id18902,0.04035,0.01389,0.94576
id27002,0.63043,0.19043,0.17914
id21418,0.9934,0.00638,0.00021
id23018,0.87625,0.0078,0.11595
id07032,0.37589,0.3081,0.31601
id16195,0.99093,0.00473,0.00433
id11202,0.06894,0.88548,0.04559
id09578,0.42242,0.1451,0.43248
id26984,0.75419,0.02705,0.21876
id19856,0.07261,0.88927,0.03812
id12086,0.59843,0.12227,0.27931
id12052,0.01916,0.02268,0.95816
id17728,0.07751,0.0224,0.90009
id24608,0.8919,0.02354,0.08456
id21097,0.32679,0.08869,0.58452
id20179,0.00121,0.00011,0.99868
id15144,0.32862,0.52086,0.15052
id00206,0.80508,0.09093,0.10399
id22285,0.00584,0.00116,0.993
id06417,0.04282,0.82076,0.13642
id00215,0.00567,0.99372,0.00061
id04201,0.2449,0.0204,0.7347
id21771,0.95793,0.02683,0.01525
id12451,0.07787,0.64519,0.27694
id14250,0.13514,0.58311,0.28174
id03433,0.01145,0.98768,0.00087
id03303,0.15097,0.0095,0.83953
id25901,0.42854,0.35814,0.21332
id06945,0.74191,0.02268,0.23541
id05664,0.31832,0.43076,0.25092
id05741,0.96034,0.0121,0.02756
id10652,0.54781,0.25023,0.20196
id16300,0.81827,0.05927,0.12246
id12319,0.37948,0.2932,0.32731
id07500,0.04166,0.95364,0.0047
id12478,0.24735,0.36942,0.38323
id03076,0.04342,0.00649,0.95009
id00969,0.07477,0.9098,0.01543
id23636,0.21835,0.47005,0.3116
id09791,0.19942,0.04004,0.76055
id05680,0.18307,0.53611,0.28082
id03672,0.14578,0.8513,0.00292
id04286,0.04772,0.85298,0.0993
id23883,0.02869,0.1729,0.79842
id11914,0.55995,0.05437,0.38568
id20974,0.22867,0.72039,0.05093
id26125,0.00091,0.01067,0.98842
id15543,0.36238,0.03493,0.6027
id19471,0.99681,0.00228,0.00091
id11503,0.65568,0.24424,0.10009
id09321,0.00577,0.97598,0.01825
id25560,0.00135,0.00214,0.99651
id06726,0.41879,0.44567,0.13555
id05709,0.81863,0.0856,0.09577
id09788,0.08852,0.53402,0.37746
id05289,0.99969,0.00027,4e-05
id11815,0.05721,0.92186,0.02093
id22422,0.93665,0.04812,0.01523
id25954,0.89079,0.00159,0.10762
id13601,0.40641,0.48785,0.10574
id05677,0.60243,0.00405,0.39351
id10498,0.11548,0.8835,0.00102
id02665,0.40168,0.41164,0.18668
id10114,0.0229,0.83534,0.14175
id26314,0.74823,0.22415,0.02762
id21240,0.84961,0.08054,0.06985
id15569,0.35781,0.6199,0.02229
id25928,0.15243,0.14453,0.70304
id22706,0.05939,0.93866,0.00195
id20877,0.17999,0.74166,0.07834
id04318,0.92564,0.0262,0.04816
id18299,0.1073,0.82087,0.07183
id08126,0.51082,0.01063,0.47855
id14293,0.52601,0.05679,0.4172
id12759,0.97755,0.01722,0.00523
id11983,0.40192,0.0221,0.57598
id05580,0.08384,0.76975,0.14641
id25846,0.40545,0.24819,0.34636
id01939,0.39247,0.10345,0.50409
id26327,0.14657,0.45139,0.40204
id11068,0.07411,0.02062,0.90527
id08404,0.66829,0.03407,0.29764
id27189,0.1991,0.77422,0.02668
id15119,0.43289,0.42619,0.14092
id26525,0.85326,0.09137,0.05536
id03618,0.9363,0.05266,0.01104
id27220,0.94423,0.02059,0.03518
id18777,0.23356,0.09252,0.67393
id20213,0.85812,0.03657,0.10531
id20403,0.84808,0.10578,0.04614
id03777,0.10866,0.05606,0.83528
id10595,0.02436,0.95679,0.01884
id13816,0.25263,0.00648,0.74089
id05667,0.18556,0.10716,0.70728
id24629,0.35706,0.11009,0.53285
id20398,0.34049,0.15263,0.50689
id14108,0.02865,0.02327,0.94808
id06196,0.01258,0.98357,0.00385
id02800,0.3711,0.56981,0.05909
id18732,0.14693,0.81462,0.03845
id11915,0.12005,0.73501,0.14493
id09739,0.68676,0.16384,0.1494
id24672,0.96253,0.03062,0.00686
id00414,0.02223,0.06555,0.91222
id16307,0.99598,0.00182,0.0022
id14043,0.29364,0.13848,0.56788
id00517,0.00082,0.00072,0.99846
id09744,0.99075,0.00922,3e-05
id19257,0.75837,0.08246,0.15917
id15437,0.5794,0.3764,0.0442
id16352,0.01175,0.00816,0.98009
id18849,0.47225,0.14736,0.38039
id19434,0.00032,0.99951,0.00017
id17928,0.22663,0.01393,0.75944
id16896,0.13393,0.00443,0.86165
id02135,0.23974,0.43513,0.32513
id15075,0.90456,0.08849,0.00695
id27486,0.00038,0.99869,0.00094
id19422,0.78289,0.20699,0.01012
id09603,0.01089,0.95236,0.03675
id02133,0.18407,0.7762,0.03973
id03441,0.79601,0.05531,0.14868
id02398,0.01063,0.98811,0.00126
id05152,0.12033,0.02005,0.85962
id17838,0.04484,0.00683,0.94833
id25060,0.9758,0.02374,0.00046
id09998,0.00828,0.02946,0.96225
id01828,0.12299,0.8404,0.03661
id25377,0.28043,0.09259,0.62698
id22175,0.15988,0.79176,0.04836
id02974,0.16735,0.00832,0.82433
id26955,0.98481,0.01375,0.00143
id21091,0.93823,0.05794,0.00384
id12802,0.98415,0.00942,0.00643
id07432,0.00085,0.99876,0.00039
id18749,0.35329,0.27859,0.36812
id15030,0.04434,0.04508,0.91059
id17155,0.10149,0.87707,0.02144
id08128,0.00648,0.9088,0.08472
id25706,0.00776,0.97052,0.02172
id15645,0.55312,0.1979,0.24898
id04943,0.18705,0.77705,0.0359
id27566,0.02418,0.01375,0.96207
id11765,0.43283,0.19725,0.36992
id13783,0.18649,0.65329,0.16022
id00492,0.07044,0.0612,0.86836
id27636,0.02851,0.00548,0.966
id04273,0.92466,0.01669,0.05865
id02537,0.27435,0.25657,0.46908
id24349,0.64377,0.34424,0.01199
id00023,0.00111,0.9941,0.00479
id23025,0.20193,0.79237,0.0057
id08722,0.68265,0.11796,0.19939
id02420,0.99725,0.00245,0.0003
id10811,0.90586,0.05487,0.03927
id04019,0.04203,0.08244,0.87553
id18334,0.93893,0.05836,0.00271
id16781,0.53916,0.45092,0.00991
id08773,0.34556,0.65234,0.0021
id19214,0.68744,0.27117,0.04139
id09589,0.00018,0.99767,0.00216
id24246,0.71276,0.09068,0.19656
id23577,0.169,0.82398,0.00702
id09305,0.73874,0.09433,0.16693
id16460,0.56734,0.07263,0.36003
id21115,0.4209,0.22693,0.35217
id25996,0.45848,0.12136,0.42016
id02551,0.00031,0.00081,0.99888
id19352,0.04803,0.00023,0.95174
id03806,0.10274,0.01672,0.88055
id26544,0.942,0.04217,0.01583
id18761,0.86814,0.0288,0.10306
id24148,0.46918,0.52305,0.00777
id16095,0.1986,0.72038,0.08102
id18442,0.37786,0.11195,0.51018
id22596,0.00114,0.00036,0.9985
id23002,0.01641,0.00696,0.97663
id04797,0.99369,0.00088,0.00543
id06610,0.23668,0.06177,0.70155
id16173,0.43182,0.42443,0.14375
id18292,0.18168,0.00888,0.80945
id27328,0.89907,0.01975,0.08118
id01695,0.07933,0.89665,0.02402
id05761,0.3429,0.02944,0.62766
id16354,0.8527,0.05221,0.09509
id12207,0.15263,0.42886,0.41851
id05665,0.23671,0.00232,0.76097
id01911,0.79083,0.20612,0.00305
id19153,0.06106,0.0192,0.91974
id10295,0.5366,0.37527,0.08813
id23038,0.89101,0.06399,0.045
id23783,0.16887,0.82889,0.00224
id27879,0.75502,0.1368,0.10819
id19190,0.00145,0.99845,0.0001
id05065,0.97036,0.02226,0.00738
id21296,0.06867,0.88908,0.04225
id13262,0.19494,0.27504,0.53002
id10333,0.89969,0.02061,0.0797
id16677,0.09882,0.11812,0.78306
id01392,0.7131,0.04661,0.24029
id27874,0.86286,0.13038,0.00676
id02294,0.00044,0.9983,0.00127
id18298,0.03873,0.11097,0.8503
id06997,0.94126,0.01001,0.04873
id05243,0.32441,0.39519,0.2804
id00860,0.01938,0.97178,0.00884
id26681,0.9995,0.00044,6e-05
id06020,0.00553,0.00011,0.99436
id27683,0.55951,0.14126,0.29923
id17655,0.00675,0.9928,0.00044
id08817,0.05422,0.11042,0.83535
id11512,0.02006,0.00801,0.97193
id00478,0.10949,0.00843,0.88208
id02116,0.82896,0.07063,0.10042
id06746,0.97423,0.02051,0.00526
id03863,0.60246,0.31238,0.08516
id01802,0.1251,0.84667,0.02823
id11682,0.59646,0.00464,0.39891
id04033,0.17031,0.46783,0.36186
id09286,0.43999,0.22489,0.33512
id12904,0.97677,0.0226,0.00063
id07420,0.04512,0.01286,0.94202
id22398,0.00057,0.99851,0.00093
id00424,0.17555,0.05802,0.76643
id20960,0.82266,0.07862,0.09872
id10267,0.54607,0.33534,0.11859
id19330,0.40424,0.01269,0.58307
id00994,0.00714,0.99178,0.00109
id10785,0.70014,0.02725,0.27261
id00955,0.00334,0.99316,0.0035
id09757,0.01056,0.98824,0.00121
id10030,0.11763,0.03946,0.84292
id22952,0.13652,0.12594,0.73754
id21955,0.00133,0.00212,0.99655
id07674,0.37376,0.1938,0.43244
id13760,0.00873,0.99076,0.00052
id18166,0.64453,0.20016,0.15531
id23498,0.98841,0.01028,0.00131
id05296,0.91155,0.00413,0.08432
id26709,0.9889,0.00325,0.00785
id02853,0.96793,0.02159,0.01048
id06800,0.316,0.18844,0.49556
id14758,0.06813,0.85836,0.07351
id12356,0.95113,0.04564,0.00323
id21492,0.8944,0.07725,0.02834
id27540,0.27714,0.00232,0.72054
id07376,0.32707,0.58432,0.08862
id15201,0.75539,0.23079,0.01382
id23388,0.24071,0.70265,0.05664
id13923,0.07143,0.82598,0.10259
id00794,0.04769,0.94448,0.00784
id23910,0.58239,0.23571,0.18189
id02556,0.11498,0.18776,0.69725
id22151,0.00126,0.9985,0.00024
id11698,0.33058,0.34351,0.32591
id11627,0.37052,0.0928,0.53668
id06340,0.99918,0.00013,0.00069
id05123,0.65448,0.15335,0.19217
id26620,0.02974,0.02805,0.94221
id04002,0.15413,0.22468,0.62119
id26554,0.86319,0.04195,0.09486
id18012,0.148,0.04446,0.80754
id12964,0.17881,0.09189,0.7293
id18965,0.01174,0.95321,0.03505
id19082,0.1521,0.06629,0.78161
id26742,0.07935,0.007,0.91365
id15442,0.00867,0.99072,0.00061
id16647,0.4052,0.22687,0.36794
id11544,0.09985,0.03114,0.86902
id20581,0.27128,0.33493,0.39379
id13192,0.45956,0.22065,0.31978
id15814,0.45797,0.1002,0.44183
id26279,0.01997,0.97919,0.00084
id00240,0.94465,0.03395,0.0214
id22836,0.95222,0.02608,0.0217
id15085,0.27195,0.27947,0.44858
id17495,0.30263,0.07247,0.6249
id26762,0.16645,0.43292,0.40063
id13685,0.94133,0.00556,0.05311
id16560,0.0223,0.97363,0.00407
id17184,0.01231,0.97068,0.01701
id21635,0.96838,0.01642,0.0152
id26751,0.27583,0.57726,0.14691
id12351,0.87194,0.0418,0.08626
id14872,0.52898,0.24844,0.22258
id18372,0.88785,0.09724,0.01491
id26851,0.6708,0.18084,0.14836
id22659,0.66501,0.32609,0.0089
id04102,0.04615,0.0073,0.94655
id02353,0.06218,0.89877,0.03905
id26721,0.9646,0.02766,0.00774
id11171,0.95027,0.03793,0.0118
id13562,0.2886,0.46485,0.24655
id26425,0.62275,0.09276,0.28449
id26394,0.35932,0.21183,0.42885
id22187,0.04321,0.92855,0.02824
id00422,0.99202,0.00066,0.00731
id22667,0.00146,0.99844,0.0001
id00911,0.83897,0.11518,0.04585
id17291,0.36782,0.07944,0.55274
id01915,0.37336,0.15507,0.47157
id01434,0.01036,0.00654,0.9831
id01584,0.90723,0.01965,0.07312
id09266,0.99721,0.00123,0.00157
id17494,0.01835,0.96774,0.01391
id24919,0.15886,0.3354,0.50574
id21043,0.14752,0.00486,0.84763
id17796,0.00781,0.98888,0.00331
id02166,0.59258,0.05982,0.3476
id17503,0.98003,0.00659,0.01338
id21203,0.41931,0.18917,0.39152
id25626,0.99569,0.00137,0.00295
id09836,0.99417,0.00391,0.00192
id24202,0.0074,0.09038,0.90222
id27260,0.10289,0.05135,0.84577
id23167,0.01548,0.00454,0.97998
id10393,0.01141,0.98141,0.00717
id01171,0.77335,0.20806,0.01859
id06380,0.82613,0.16389,0.00998
id22686,0.09085,0.00461,0.90453
id26250,0.19259,0.07597,0.73144
id09315,0.34718,0.47663,0.17619
id00886,0.05963,0.87251,0.06786
id03101,0.91166,0.04839,0.03995
id12367,0.6383,0.07815,0.28355
id10770,0.55404,0.15282,0.29315
id14949,0.00699,0.98389,0.00911
id14141,0.18066,0.64466,0.17468
id25417,0.20505,0.391,0.40395
id26873,0.33475,0.07288,0.59237
id10818,0.27152,0.08315,0.64533
id15146,0.71911,0.097,0.18388
id23328,0.80249,0.0819,0.11561
id16765,0.25592,0.23823,0.50585
id24383,0.94326,0.02279,0.03395
id21304,0.42498,0.38124,0.19378
id12551,0.03573,0.96229,0.00197
id23274,0.04293,0.01719,0.93988
id08117,0.48289,0.04674,0.47037
id23961,0.96775,0.02352,0.00873
id13865,0.0082,0.97912,0.01268
id22807,0.50512,0.02691,0.46797
id08951,0.3085,0.14771,0.54379
id18684,0.93026,0.06506,0.00468
id25179,0.11513,0.79445,0.09042
id27033,0.70826,0.01063,0.28111
id13977,0.1634,0.81142,0.02518
id19337,0.00425,0.97905,0.0167
id25764,0.0151,0.94493,0.03996
id16106,0.33912,0.06118,0.5997
id05468,0.02403,0.00197,0.974
id05241,0.94009,0.01189,0.04802
id10215,0.3062,0.44331,0.25049
id23457,0.00449,0.00866,0.98685
id02200,0.98092,0.01334,0.00574
id13714,0.33429,0.46163,0.20408
id20332,0.00293,0.0002,0.99688
id18573,0.36774,0.10854,0.52372
id08569,0.85453,0.02266,0.12281
id22767,0.30919,0.61642,0.07439
id25390,0.09047,0.85522,0.05432
id09288,0.96575,0.02005,0.0142
id12381,0.96207,0.01408,0.02385
id02895,0.62592,0.11269,0.26139
id25270,0.03756,0.00212,0.96032
id14248,0.38033,0.23418,0.38549
id12831,0.61041,0.01492,0.37467
id18305,0.63136,0.0679,0.30075
id07805,0.97897,0.01475,0.00628
id14027,0.14269,0.06852,0.78879
id02760,0.06118,0.28113,0.65769
id24362,0.84137,0.0514,0.10723
id17065,0.35547,0.631,0.01353
id26583,0.046,0.22965,0.72435
id19664,0.9956,0.00412,0.00027
id25145,0.83264,0.03558,0.13178
id17858,0.15902,0.82953,0.01146
id05148,0.2236,0.66746,0.10893
id22928,0.54762,0.23491,0.21746
id21549,0.60608,0.00325,0.39067
id12649,0.09132,0.90415,0.00454
id21597,0.53815,0.12553,0.33632
id27945,0.77141,0.12964,0.09894
id00243,0.97478,0.00808,0.01714
id02745,0.52627,0.01467,0.45907
id23550,0.08128,0.018,0.90072
id13023,0.05608,0.00164,0.94228
id24796,0.16309,0.01833,0.81858
id12284,0.26033,0.6867,0.05296
id02664,0.00037,0.99203,0.0076
id23767,0.94985,0.03691,0.01324
id05859,0.04224,0.75947,0.19829
id14350,0.22805,0.15569,0.61626
id01191,0.23327,0.55953,0.2072
id17034,0.01488,0.00407,0.98105
id25292,0.85191,0.14617,0.00191
id22121,0.99831,0.00125,0.00045
id20872,0.99887,0.00055,0.00059
id17720,0.05592,0.93766,0.00642
id22658,0.20495,0.78134,0.01371
id09567,0.5742,0.35118,0.07462
id16445,0.76076,0.21902,0.02021
id08349,0.21506,0.50586,0.27908
id27437,0.24584,0.68371,0.07044
id03812,0.99858,0.00058,0.00084
id22304,0.66186,0.22215,0.11599
id04449,0.63474,0.21249,0.15277
id15605,0.84787,0.01607,0.13607
id01768,0.17073,0.26134,0.56793
id20019,0.33859,0.61006,0.05135
id09593,0.06131,0.59358,0.34511
id23179,0.43739,0.04631,0.5163
id21279,0.86118,0.12491,0.0139
id06711,0.11122,0.06252,0.82625
id14243,0.00553,0.99278,0.00169
id04839,0.00778,0.02122,0.971
id17220,0.01439,0.8769,0.10872
id24177,0.35074,0.47445,0.17481
id20512,0.02541,0.04721,0.92738
id14036,0.04407,0.95497,0.00095
id25001,0.0345,0.10919,0.85632
id06175,0.00173,0.99635,0.00192
id24720,0.42761,0.55193,0.02046
id08070,0.9486,0.03909,0.01231
id18934,0.93537,0.0244,0.04023
id01338,0.98309,0.00359,0.01331
id19008,0.09397,0.85525,0.05078
id19632,0.17342,0.65596,0.17062
id26224,0.0066,0.00271,0.99069
id08219,0.55101,0.06759,0.3814
id24008,0.00172,0.00207,0.99621
id12475,0.71126,0.18831,0.10042
id05766,0.05895,0.13601,0.80504
id27386,0.0003,0.99928,0.00042
id12476,0.02676,0.97224,0.00099
id08311,0.81652,0.05851,0.12497
id04996,0.15411,0.84035,0.00554
id17350,0.30873,0.68997,0.0013
id05546,0.0252,0.97199,0.00281
id16504,0.02924,0.96916,0.00159
id05782,0.01831,0.01478,0.96691
id20560,0.91542,0.07475,0.00983
id14171,0.16932,0.18104,0.64964
id27461,0.56183,0.10592,0.33224
id03581,0.24499,0.15089,0.60412
id21847,0.2532,0.0356,0.7112
id11712,0.86064,0.05744,0.08192
id26738,0.18893,0.12407,0.68701
id13668,0.99059,0.00902,0.00039
id15114,0.98624,0.0031,0.01066
id20130,0.31921,0.26356,0.41723
id18331,0.40472,0.01446,0.58082
id24465,0.99788,0.00094,0.00118
id13539,0.94889,0.04087,0.01024
id27564,0.00597,0.89541,0.09861
id26043,0.00607,0.00877,0.98516
id04965,6e-05,0.00022,0.99972
id08645,0.00408,0.00574,0.99018
id26610,0.42434,0.30954,0.26611
id21737,0.3233,0.61459,0.06212
id25784,0.00066,0.99872,0.00063
id23030,0.65234,0.24447,0.10319
id16450,0.02188,0.97238,0.00575
id02161,0.36649,0.0106,0.62291
id25535,0.93788,0.0338,0.02831
id16566,0.87133,0.00284,0.12583
id05714,0.99426,0.00384,0.0019
id16524,0.4704,0.47056,0.05904
id23941,0.04041,0.8426,0.11699
id00831,0.03516,0.08865,0.87619
id18145,0.44223,0.21653,0.34125
id17227,0.99421,0.00027,0.00552
id09417,0.6502,0.09707,0.25273
id21307,0.67966,0.06973,0.25061
id05650,0.02667,0.96519,0.00814
id23901,0.49526,0.26731,0.23742
id05831,0.99326,0.00078,0.00596
id16708,0.18349,0.43878,0.37773
id02281,0.1367,0.39608,0.46722
id11599,0.54019,0.14827,0.31154
id18353,0.2836,0.54876,0.16764
id07413,0.34352,0.6356,0.02088
id15653,0.00387,0.99335,0.00278
id09715,0.05397,0.00297,0.94305
id05108,0.01192,0.97643,0.01165
id09537,0.57674,0.27162,0.15164
id27596,0.83091,0.12141,0.04767
id24255,0.09255,0.00248,0.90498
id05080,0.0031,0.00059,0.99631
id09484,0.99005,0.00588,0.00407
id14864,0.1084,0.03889,0.85271
id26836,0.49237,0.21293,0.29469
id07003,0.47742,0.38077,0.14181
id13750,0.00011,0.99987,2e-05
id21799,0.03193,0.42141,0.54666
id11285,0.9996,0.00012,0.00028
id04735,0.90764,0.02472,0.06764
id23049,0.01523,0.02714,0.95763
